ImageID,pigment_network,blue_whitish_veil,vascular_structures,pigmentation,streaks,dots_and_globules,regression_structures
Aal056.jpg,0,0,0,0,1,1,0
Aal099bis.jpg,0,0,0,0,1,1,0
Abl139.jpg,1,0,0,0,0,1,1
Abl179.jpg,1,0,0,0,0,1,0
Acl201.jpg,0,0,0,0,1,0,0
Acl203.jpg,0,0,1,0,0,1,0
Acl207.jpg,0,1,0,1,1,0,0
Acl221.jpg,1,0,0,0,0,1,1
Acl281.jpg,1,0,0,0,0,1,0
Acl299.jpg,1,0,0,0,0,1,0
Adl305.jpg,0,1,0,1,1,1,0
Adl335.jpg,1,0,0,1,1,1,0
Adl337bis.jpg,0,0,1,1,0,1,0
Adl377.jpg,1,0,0,0,0,1,0
Adl379.jpg,0,0,1,0,0,0,0
Adl383.jpg,1,0,0,0,0,1,0
Adl387.jpg,1,0,0,0,0,1,0
Ael421.jpg,1,1,0,1,1,1,0
Ael444.jpg,0,0,0,1,0,0,0
Ael484.jpg,1,0,0,0,1,1,0
FBL032.JPG,0,0,0,1,0,0,0
FBL058.JPG,1,0,0,0,0,1,0
FCL054.JPG,1,1,0,1,1,1,0
Fal050.jpg,1,0,0,1,0,1,0
Fbl010.jpg,1,0,0,0,0,1,0
Fbl022.jpg,1,0,0,0,1,0,0
Fbl038.jpg,1,0,0,0,0,1,0
Fbl044.jpg,1,0,0,0,0,1,0
Fbl048.jpg,0,0,0,0,1,1,0
Fbl050.jpg,1,1,0,0,1,0,0
Fbl054.jpg,1,0,0,0,1,1,1
Fcl026.jpg,1,1,0,0,1,1,1
Fcl044.jpg,1,0,0,0,0,1,0
Fel080.jpg,1,0,0,0,1,1,1
Fel086.jpg,1,0,0,0,0,1,1
Ffl096.jpg,1,0,0,0,0,1,1
Fgl008.jpg,1,0,0,0,0,1,0
Fgl029.jpg,1,0,1,0,0,0,1
Fgl044.jpg,0,1,1,1,0,1,0
Fgl051.jpg,1,0,1,0,0,1,0
Fgl053.jpg,0,0,0,0,0,1,0
Fgl078.jpg,1,0,0,1,0,1,0
Fhl002.jpg,0,0,1,1,1,0,1
Fhl022.jpg,0,0,0,0,1,1,0
Fhl038.jpg,1,0,0,1,1,1,0
Fhl076.jpg,1,0,0,0,0,1,0
Fil008.jpg,0,1,1,1,1,1,0
Fll039.jpg,1,0,0,0,0,1,0
Fll041.jpg,1,0,1,1,0,1,1
Fll069.jpg,0,1,0,1,1,1,0
Fll077.jpg,1,0,0,1,1,1,0
Fll118.jpg,1,0,0,1,1,1,1
Fml020.jpg,1,0,0,0,0,1,1
Gal016.jpg,1,0,0,0,1,1,1
Gal033.jpg,0,0,1,0,0,1,0
Gal108.jpg,1,0,1,0,1,0,0
Gal130.jpg,0,0,0,1,0,0,0
Gal232.jpg,0,0,1,0,0,1,0
Gdl037.jpg,1,0,1,1,1,0,0
Ggl004.jpg,0,0,1,1,0,0,0
Ggl006.jpg,0,0,0,1,0,0,0
Ggl008.jpg,0,0,0,1,0,0,0
Ggl012.jpg,0,0,0,0,0,0,0
Ggl042.jpg,0,0,1,0,0,0,0
Ggl044.jpg,0,0,1,1,0,1,0
Ggl068.jpg,1,0,0,1,1,1,0
Nal020.jpg,0,0,0,0,1,1,1
Nal033.jpg,1,0,0,0,1,1,0
Nal066.jpg,0,0,1,1,1,1,1
Nal077.jpg,1,1,1,0,0,1,1
Nbl010.jpg,1,0,0,1,0,1,1
Nbl015.jpg,1,1,0,1,0,1,0
Nbl019.jpg,1,1,1,1,1,1,0
Nbl022.jpg,1,1,0,1,1,1,0
Nbl080.jpg,0,0,0,0,0,1,0
Ncl004.jpg,1,0,0,0,0,1,0
Ncl051.jpg,1,0,0,0,0,1,0
Ncl083.jpg,1,0,0,1,0,1,0
Ndl005.jpg,1,0,0,0,0,1,1
Ndl018.jpg,1,0,0,1,0,1,0
Ndl031.jpg,1,0,0,0,0,1,0
Ndl083.jpg,0,0,0,1,1,1,0
Nel005.jpg,0,0,0,0,0,1,0
Nel044.jpg,0,0,0,1,0,0,0
Nel091.jpg,0,1,1,0,0,1,0
Nfl004.jpg,1,0,0,1,0,1,0
Nfl008.jpg,0,0,1,1,0,1,0
Nil023.jpg,0,1,0,0,0,1,0
Nil062.jpg,1,1,0,0,1,1,1
Nll024.jpg,1,0,0,0,0,1,1
Nll076.jpg,1,0,0,0,0,1,0
Nml067.jpg,0,0,0,0,0,1,0
Nml077.jpg,1,0,0,0,0,1,1
gzl22.jpg,0,0,0,1,0,1,0
gzl24.jpg,0,0,0,1,0,0,0
gzl32.jpg,1,0,0,0,0,1,0
gzl38.jpg,0,0,1,0,0,0,0
gzl48.jpg,1,0,0,0,0,0,0
newl030.jpg,0,1,0,1,1,1,0
newl036.jpg,0,1,1,0,0,1,0
